CYP2C9 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*6/*47,n/a,CYP2C9 Indeterminate,none
*6/*48,n/a,CYP2C9 Indeterminate,none
*6/*49,n/a,CYP2C9 Indeterminate,none
*6/*50,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*51,n/a,CYP2C9 Indeterminate,none
*6/*52,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*53,n/a,CYP2C9 Indeterminate,none
*6/*54,n/a,CYP2C9 Indeterminate,none
*6/*55,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*56,n/a,CYP2C9 Indeterminate,none
*6/*57,n/a,CYP2C9 Indeterminate,none
*6/*58,n/a,CYP2C9 Indeterminate,none
*6/*59,n/a,CYP2C9 Indeterminate,none
*6/*60,n/a,CYP2C9 Indeterminate,none
*6/*61,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*6/*62,n/a,CYP2C9 Indeterminate,none
*6/*63,n/a,CYP2C9 Indeterminate,none
*6/*64,n/a,CYP2C9 Indeterminate,none
*6/*65,n/a,CYP2C9 Indeterminate,none
*6/*66,n/a,CYP2C9 Indeterminate,none
*6/*67,n/a,CYP2C9 Indeterminate,none
*6/*68,n/a,CYP2C9 Indeterminate,none
*6/*69,n/a,CYP2C9 Indeterminate,none
*6/*70,n/a,CYP2C9 Indeterminate,none
*6/*71,n/a,CYP2C9 Indeterminate,none
*6/*72,n/a,CYP2C9 Indeterminate,none
*6/*73,n/a,CYP2C9 Indeterminate,none
*6/*74,n/a,CYP2C9 Indeterminate,none
*6/*75,n/a,CYP2C9 Indeterminate,none
*7/*7,n/a,CYP2C9 Indeterminate,none
*7/*8,n/a,CYP2C9 Indeterminate,none
*7/*9,n/a,CYP2C9 Indeterminate,none
*7/*10,n/a,CYP2C9 Indeterminate,none
*7/*11,n/a,CYP2C9 Indeterminate,none
*7/*12,n/a,CYP2C9 Indeterminate,none
*7/*13,n/a,CYP2C9 Indeterminate,none
*7/*14,n/a,CYP2C9 Indeterminate,none
*7/*15,n/a,CYP2C9 Indeterminate,none
*7/*16,n/a,CYP2C9 Indeterminate,none
*7/*17,n/a,CYP2C9 Indeterminate,none
*7/*18,n/a,CYP2C9 Indeterminate,none
*7/*19,n/a,CYP2C9 Indeterminate,none
*7/*20,n/a,CYP2C9 Indeterminate,none
*7/*21,n/a,CYP2C9 Indeterminate,none
*7/*22,n/a,CYP2C9 Indeterminate,none
*7/*23,n/a,CYP2C9 Indeterminate,none
*7/*24,n/a,CYP2C9 Indeterminate,none
*7/*25,n/a,CYP2C9 Indeterminate,none
*7/*26,n/a,CYP2C9 Indeterminate,none
*7/*27,n/a,CYP2C9 Indeterminate,none
*7/*28,n/a,CYP2C9 Indeterminate,none
*7/*29,n/a,CYP2C9 Indeterminate,none
*7/*30,n/a,CYP2C9 Indeterminate,none
*7/*31,n/a,CYP2C9 Indeterminate,none
*7/*32,n/a,CYP2C9 Indeterminate,none
*7/*33,n/a,CYP2C9 Indeterminate,none
*7/*34,n/a,CYP2C9 Indeterminate,none
*7/*35,n/a,CYP2C9 Indeterminate,none
*7/*36,n/a,CYP2C9 Indeterminate,none
*7/*37,n/a,CYP2C9 Indeterminate,none
*7/*38,n/a,CYP2C9 Indeterminate,none
*7/*39,n/a,CYP2C9 Indeterminate,none
*7/*40,n/a,CYP2C9 Indeterminate,none
*7/*41,n/a,CYP2C9 Indeterminate,none
*7/*42,n/a,CYP2C9 Indeterminate,none
*7/*43,n/a,CYP2C9 Indeterminate,none
*7/*44,n/a,CYP2C9 Indeterminate,none
*7/*45,n/a,CYP2C9 Indeterminate,none
*7/*46,n/a,CYP2C9 Indeterminate,none
*7/*47,n/a,CYP2C9 Indeterminate,none
*7/*48,n/a,CYP2C9 Indeterminate,none
*7/*49,n/a,CYP2C9 Indeterminate,none
*7/*50,n/a,CYP2C9 Indeterminate,none
*7/*51,n/a,CYP2C9 Indeterminate,none
*7/*52,n/a,CYP2C9 Indeterminate,none
*7/*53,n/a,CYP2C9 Indeterminate,none
*7/*54,n/a,CYP2C9 Indeterminate,none
*7/*55,n/a,CYP2C9 Indeterminate,none
*7/*56,n/a,CYP2C9 Indeterminate,none
*7/*57,n/a,CYP2C9 Indeterminate,none
*7/*58,n/a,CYP2C9 Indeterminate,none
*7/*59,n/a,CYP2C9 Indeterminate,none
*7/*60,n/a,CYP2C9 Indeterminate,none
*7/*61,n/a,CYP2C9 Indeterminate,none
*7/*62,n/a,CYP2C9 Indeterminate,none
*7/*63,n/a,CYP2C9 Indeterminate,none
*7/*64,n/a,CYP2C9 Indeterminate,none
*7/*65,n/a,CYP2C9 Indeterminate,none
*7/*66,n/a,CYP2C9 Indeterminate,none
*7/*67,n/a,CYP2C9 Indeterminate,none
*7/*68,n/a,CYP2C9 Indeterminate,none
*7/*69,n/a,CYP2C9 Indeterminate,none
*7/*70,n/a,CYP2C9 Indeterminate,none
*7/*71,n/a,CYP2C9 Indeterminate,none
*7/*72,n/a,CYP2C9 Indeterminate,none
*7/*73,n/a,CYP2C9 Indeterminate,none
*7/*74,n/a,CYP2C9 Indeterminate,none
*7/*75,n/a,CYP2C9 Indeterminate,none
*8/*8,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*9,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*10,n/a,CYP2C9 Indeterminate,none
*8/*11,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*12,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*13,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*14,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*15,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*17,n/a,CYP2C9 Indeterminate,none
*8/*18,n/a,CYP2C9 Indeterminate,none
*8/*19,n/a,CYP2C9 Indeterminate,none
*8/*20,n/a,CYP2C9 Indeterminate,none
*8/*21,n/a,CYP2C9 Indeterminate,none
*8/*22,n/a,CYP2C9 Indeterminate,none
*8/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*27,n/a,CYP2C9 Indeterminate,none
*8/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*32,n/a,CYP2C9 Indeterminate,none
*8/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*34,n/a,CYP2C9 Indeterminate,none
*8/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*36,n/a,CYP2C9 Indeterminate,none
*8/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*40,n/a,CYP2C9 Indeterminate,none
*8/*41,n/a,CYP2C9 Indeterminate,none
*8/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*47,n/a,CYP2C9 Indeterminate,none
*8/*48,n/a,CYP2C9 Indeterminate,none
*8/*49,n/a,CYP2C9 Indeterminate,none
*8/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*51,n/a,CYP2C9 Indeterminate,none
*8/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*8/*53,n/a,CYP2C9 Indeterminate,none
*8/*54,n/a,CYP2C9 Indeterminate,none
*8/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*56,n/a,CYP2C9 Indeterminate,none
*8/*57,n/a,CYP2C9 Indeterminate,none
*8/*58,n/a,CYP2C9 Indeterminate,none
*8/*59,n/a,CYP2C9 Indeterminate,none
*8/*60,n/a,CYP2C9 Indeterminate,none
*8/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*62,n/a,CYP2C9 Indeterminate,none
*8/*63,n/a,CYP2C9 Indeterminate,none
*8/*64,n/a,CYP2C9 Indeterminate,none
*8/*65,n/a,CYP2C9 Indeterminate,none
*8/*66,n/a,CYP2C9 Indeterminate,none
*8/*67,n/a,CYP2C9 Indeterminate,none
*8/*68,n/a,CYP2C9 Indeterminate,none
*8/*69,n/a,CYP2C9 Indeterminate,none
*8/*70,n/a,CYP2C9 Indeterminate,none
*8/*71,n/a,CYP2C9 Indeterminate,none
*8/*72,n/a,CYP2C9 Indeterminate,none
*8/*73,n/a,CYP2C9 Indeterminate,none
*8/*74,n/a,CYP2C9 Indeterminate,none
*8/*75,n/a,CYP2C9 Indeterminate,none
*9/*9,2.0,CYP2C9 Normal Metabolizer,Normal/Routine/Low Risk
*9/*10,n/a,CYP2C9 Indeterminate,none
*9/*11,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*12,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*13,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*14,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*15,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*16,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*17,n/a,CYP2C9 Indeterminate,none
*9/*18,n/a,CYP2C9 Indeterminate,none
*9/*19,n/a,CYP2C9 Indeterminate,none
*9/*20,n/a,CYP2C9 Indeterminate,none
*9/*21,n/a,CYP2C9 Indeterminate,none
*9/*22,n/a,CYP2C9 Indeterminate,none
*9/*23,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*24,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*25,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*26,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*27,n/a,CYP2C9 Indeterminate,none
*9/*28,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*29,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*30,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*31,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*32,n/a,CYP2C9 Indeterminate,none
*9/*33,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*34,n/a,CYP2C9 Indeterminate,none
*9/*35,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*36,n/a,CYP2C9 Indeterminate,none
*9/*37,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*38,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*39,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*40,n/a,CYP2C9 Indeterminate,none
*9/*41,n/a,CYP2C9 Indeterminate,none
*9/*42,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*43,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*44,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*45,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*46,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*47,n/a,CYP2C9 Indeterminate,none
*9/*48,n/a,CYP2C9 Indeterminate,none
*9/*49,n/a,CYP2C9 Indeterminate,none
*9/*50,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*51,n/a,CYP2C9 Indeterminate,none
*9/*52,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*53,n/a,CYP2C9 Indeterminate,none
*9/*54,n/a,CYP2C9 Indeterminate,none
*9/*55,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*56,n/a,CYP2C9 Indeterminate,none
*9/*57,n/a,CYP2C9 Indeterminate,none
*9/*58,n/a,CYP2C9 Indeterminate,none
*9/*59,n/a,CYP2C9 Indeterminate,none
*9/*60,n/a,CYP2C9 Indeterminate,none
*9/*61,1.5,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*62,n/a,CYP2C9 Indeterminate,none
*9/*63,n/a,CYP2C9 Indeterminate,none
*9/*64,n/a,CYP2C9 Indeterminate,none
*9/*65,n/a,CYP2C9 Indeterminate,none
*9/*66,n/a,CYP2C9 Indeterminate,none
*9/*67,n/a,CYP2C9 Indeterminate,none
*9/*68,n/a,CYP2C9 Indeterminate,none
*9/*69,n/a,CYP2C9 Indeterminate,none
*9/*70,n/a,CYP2C9 Indeterminate,none
*9/*71,n/a,CYP2C9 Indeterminate,none
*9/*72,n/a,CYP2C9 Indeterminate,none
*9/*73,n/a,CYP2C9 Indeterminate,none
*9/*74,n/a,CYP2C9 Indeterminate,none
*9/*75,n/a,CYP2C9 Indeterminate,none
*10/*10,n/a,CYP2C9 Indeterminate,none
*10/*11,n/a,CYP2C9 Indeterminate,none
*10/*12,n/a,CYP2C9 Indeterminate,none
*10/*13,n/a,CYP2C9 Indeterminate,none
*10/*14,n/a,CYP2C9 Indeterminate,none
*10/*15,n/a,CYP2C9 Indeterminate,none
*10/*16,n/a,CYP2C9 Indeterminate,none
*10/*17,n/a,CYP2C9 Indeterminate,none
*10/*18,n/a,CYP2C9 Indeterminate,none
*10/*19,n/a,CYP2C9 Indeterminate,none
*10/*20,n/a,CYP2C9 Indeterminate,none
*10/*21,n/a,CYP2C9 Indeterminate,none
*10/*22,n/a,CYP2C9 Indeterminate,none
*10/*23,n/a,CYP2C9 Indeterminate,none
*10/*24,n/a,CYP2C9 Indeterminate,none
*10/*25,n/a,CYP2C9 Indeterminate,none
*10/*26,n/a,CYP2C9 Indeterminate,none
*10/*27,n/a,CYP2C9 Indeterminate,none
*10/*28,n/a,CYP2C9 Indeterminate,none
*10/*29,n/a,CYP2C9 Indeterminate,none
*10/*30,n/a,CYP2C9 Indeterminate,none
*10/*31,n/a,CYP2C9 Indeterminate,none
*10/*32,n/a,CYP2C9 Indeterminate,none
*10/*33,n/a,CYP2C9 Indeterminate,none
*10/*34,n/a,CYP2C9 Indeterminate,none
*10/*35,n/a,CYP2C9 Indeterminate,none
*10/*36,n/a,CYP2C9 Indeterminate,none
*10/*37,n/a,CYP2C9 Indeterminate,none
*10/*38,n/a,CYP2C9 Indeterminate,none
*10/*39,n/a,CYP2C9 Indeterminate,none
*10/*40,n/a,CYP2C9 Indeterminate,none
*10/*41,n/a,CYP2C9 Indeterminate,none
*10/*42,n/a,CYP2C9 Indeterminate,none
*10/*43,n/a,CYP2C9 Indeterminate,none
*10/*44,n/a,CYP2C9 Indeterminate,none
*10/*45,n/a,CYP2C9 Indeterminate,none
*10/*46,n/a,CYP2C9 Indeterminate,none
*10/*47,n/a,CYP2C9 Indeterminate,none
*10/*48,n/a,CYP2C9 Indeterminate,none
*10/*49,n/a,CYP2C9 Indeterminate,none
*10/*50,n/a,CYP2C9 Indeterminate,none
*10/*51,n/a,CYP2C9 Indeterminate,none
*10/*52,n/a,CYP2C9 Indeterminate,none
*10/*53,n/a,CYP2C9 Indeterminate,none
*10/*54,n/a,CYP2C9 Indeterminate,none
*10/*55,n/a,CYP2C9 Indeterminate,none
*10/*56,n/a,CYP2C9 Indeterminate,none
*10/*57,n/a,CYP2C9 Indeterminate,none
*10/*58,n/a,CYP2C9 Indeterminate,none
*10/*59,n/a,CYP2C9 Indeterminate,none
*10/*60,n/a,CYP2C9 Indeterminate,none
*10/*61,n/a,CYP2C9 Indeterminate,none
*10/*62,n/a,CYP2C9 Indeterminate,none
*10/*63,n/a,CYP2C9 Indeterminate,none
*10/*64,n/a,CYP2C9 Indeterminate,none
*10/*65,n/a,CYP2C9 Indeterminate,none
*10/*66,n/a,CYP2C9 Indeterminate,none
*10/*67,n/a,CYP2C9 Indeterminate,none
*10/*68,n/a,CYP2C9 Indeterminate,none
*10/*69,n/a,CYP2C9 Indeterminate,none
*10/*70,n/a,CYP2C9 Indeterminate,none
*10/*71,n/a,CYP2C9 Indeterminate,none
*10/*72,n/a,CYP2C9 Indeterminate,none
*10/*73,n/a,CYP2C9 Indeterminate,none
*10/*74,n/a,CYP2C9 Indeterminate,none
*10/*75,n/a,CYP2C9 Indeterminate,none
*11/*11,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*12,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*13,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*14,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*15,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*17,n/a,CYP2C9 Indeterminate,none
*11/*18,n/a,CYP2C9 Indeterminate,none
*11/*19,n/a,CYP2C9 Indeterminate,none
*11/*20,n/a,CYP2C9 Indeterminate,none
*11/*21,n/a,CYP2C9 Indeterminate,none
*11/*22,n/a,CYP2C9 Indeterminate,none
*11/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*27,n/a,CYP2C9 Indeterminate,none
*11/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*32,n/a,CYP2C9 Indeterminate,none
*11/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*34,n/a,CYP2C9 Indeterminate,none
*11/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*36,n/a,CYP2C9 Indeterminate,none
*11/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*40,n/a,CYP2C9 Indeterminate,none
*11/*41,n/a,CYP2C9 Indeterminate,none
*11/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*47,n/a,CYP2C9 Indeterminate,none
*11/*48,n/a,CYP2C9 Indeterminate,none
*11/*49,n/a,CYP2C9 Indeterminate,none
*11/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*51,n/a,CYP2C9 Indeterminate,none
*11/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*11/*53,n/a,CYP2C9 Indeterminate,none
*11/*54,n/a,CYP2C9 Indeterminate,none
*11/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*56,n/a,CYP2C9 Indeterminate,none
*11/*57,n/a,CYP2C9 Indeterminate,none
*11/*58,n/a,CYP2C9 Indeterminate,none
*11/*59,n/a,CYP2C9 Indeterminate,none
*11/*60,n/a,CYP2C9 Indeterminate,none
*11/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*11/*62,n/a,CYP2C9 Indeterminate,none
*11/*63,n/a,CYP2C9 Indeterminate,none
*11/*64,n/a,CYP2C9 Indeterminate,none
*11/*65,n/a,CYP2C9 Indeterminate,none
*11/*66,n/a,CYP2C9 Indeterminate,none
*11/*67,n/a,CYP2C9 Indeterminate,none
*11/*68,n/a,CYP2C9 Indeterminate,none
*11/*69,n/a,CYP2C9 Indeterminate,none
*11/*70,n/a,CYP2C9 Indeterminate,none
*11/*71,n/a,CYP2C9 Indeterminate,none
*11/*72,n/a,CYP2C9 Indeterminate,none
*11/*73,n/a,CYP2C9 Indeterminate,none
*11/*74,n/a,CYP2C9 Indeterminate,none
*11/*75,n/a,CYP2C9 Indeterminate,none
*12/*12,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*13,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*14,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*15,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*16,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*17,n/a,CYP2C9 Indeterminate,none
*12/*18,n/a,CYP2C9 Indeterminate,none
*12/*19,n/a,CYP2C9 Indeterminate,none
*12/*20,n/a,CYP2C9 Indeterminate,none
*12/*21,n/a,CYP2C9 Indeterminate,none
*12/*22,n/a,CYP2C9 Indeterminate,none
*12/*23,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*24,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*25,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*26,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*27,n/a,CYP2C9 Indeterminate,none
*12/*28,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*29,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*30,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*31,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*32,n/a,CYP2C9 Indeterminate,none
*12/*33,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*34,n/a,CYP2C9 Indeterminate,none
*12/*35,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*36,n/a,CYP2C9 Indeterminate,none
*12/*37,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*38,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*39,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*40,n/a,CYP2C9 Indeterminate,none
*12/*41,n/a,CYP2C9 Indeterminate,none
*12/*42,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*43,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*44,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*45,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*46,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*47,n/a,CYP2C9 Indeterminate,none
*12/*48,n/a,CYP2C9 Indeterminate,none
*12/*49,n/a,CYP2C9 Indeterminate,none
*12/*50,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*51,n/a,CYP2C9 Indeterminate,none
*12/*52,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*53,n/a,CYP2C9 Indeterminate,none
*12/*54,n/a,CYP2C9 Indeterminate,none
*12/*55,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*56,n/a,CYP2C9 Indeterminate,none
*12/*57,n/a,CYP2C9 Indeterminate,none
*12/*58,n/a,CYP2C9 Indeterminate,none
*12/*59,n/a,CYP2C9 Indeterminate,none
*12/*60,n/a,CYP2C9 Indeterminate,none
*12/*61,1.0,CYP2C9 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*62,n/a,CYP2C9 Indeterminate,none
*12/*63,n/a,CYP2C9 Indeterminate,none
*12/*64,n/a,CYP2C9 Indeterminate,none
*12/*65,n/a,CYP2C9 Indeterminate,none
*12/*66,n/a,CYP2C9 Indeterminate,none
*12/*67,n/a,CYP2C9 Indeterminate,none
*12/*68,n/a,CYP2C9 Indeterminate,none
*12/*69,n/a,CYP2C9 Indeterminate,none
*12/*70,n/a,CYP2C9 Indeterminate,none
*12/*71,n/a,CYP2C9 Indeterminate,none
*12/*72,n/a,CYP2C9 Indeterminate,none
*12/*73,n/a,CYP2C9 Indeterminate,none
*12/*74,n/a,CYP2C9 Indeterminate,none
*12/*75,n/a,CYP2C9 Indeterminate,none
*13/*13,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*14,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*15,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*16,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*17,n/a,CYP2C9 Indeterminate,none
*13/*18,n/a,CYP2C9 Indeterminate,none
*13/*19,n/a,CYP2C9 Indeterminate,none
*13/*20,n/a,CYP2C9 Indeterminate,none
*13/*21,n/a,CYP2C9 Indeterminate,none
*13/*22,n/a,CYP2C9 Indeterminate,none
*13/*23,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*24,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*25,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*26,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*27,n/a,CYP2C9 Indeterminate,none
*13/*28,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*29,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*30,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*31,0.5,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*32,n/a,CYP2C9 Indeterminate,none
*13/*33,0.0,CYP2C9 Poor Metabolizer,Abnormal/Priority/High Risk
