CYP2B6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*10/*17,n/a,CYP2B6 Indeterminate,none
*10/*18,n/a,CYP2B6 Indeterminate,none
*10/*19,n/a,CYP2B6 Indeterminate,none
*10/*20,n/a,CYP2B6 Indeterminate,none
*10/*21,n/a,CYP2B6 Indeterminate,none
*10/*22,n/a,CYP2B6 Indeterminate,none
*10/*23,n/a,CYP2B6 Indeterminate,none
*10/*24,n/a,CYP2B6 Indeterminate,none
*10/*25,n/a,CYP2B6 Indeterminate,none
*10/*26,n/a,CYP2B6 Indeterminate,none
*10/*27,n/a,CYP2B6 Indeterminate,none
*10/*28,n/a,CYP2B6 Indeterminate,none
*10/*29,n/a,CYP2B6 Indeterminate,none
*10/*30,n/a,CYP2B6 Indeterminate,none
*10/*31,n/a,CYP2B6 Indeterminate,none
*10/*32,n/a,CYP2B6 Indeterminate,none
*10/*33,n/a,CYP2B6 Indeterminate,none
*10/*34,n/a,CYP2B6 Indeterminate,none
*10/*35,n/a,CYP2B6 Indeterminate,none
*10/*36,n/a,CYP2B6 Indeterminate,none
*10/*37,n/a,CYP2B6 Indeterminate,none
*10/*38,n/a,CYP2B6 Indeterminate,none
*10/*39,n/a,CYP2B6 Indeterminate,none
*10/*40,n/a,CYP2B6 Indeterminate,none
*10/*41,n/a,CYP2B6 Indeterminate,none
*10/*42,n/a,CYP2B6 Indeterminate,none
*10/*43,n/a,CYP2B6 Indeterminate,none
*10/*44,n/a,CYP2B6 Indeterminate,none
*10/*45,n/a,CYP2B6 Indeterminate,none
*10/*46,n/a,CYP2B6 Indeterminate,none
*10/*47,n/a,CYP2B6 Indeterminate,none
*10/*48,n/a,CYP2B6 Indeterminate,none
*10/*49,n/a,CYP2B6 Indeterminate,none
*11/*11,n/a,CYP2B6 Indeterminate,none
*11/*12,n/a,CYP2B6 Indeterminate,none
*11/*13,n/a,CYP2B6 Indeterminate,none
*11/*14,n/a,CYP2B6 Indeterminate,none
*11/*15,n/a,CYP2B6 Indeterminate,none
*11/*17,n/a,CYP2B6 Indeterminate,none
*11/*18,n/a,CYP2B6 Indeterminate,none
*11/*19,n/a,CYP2B6 Indeterminate,none
*11/*20,n/a,CYP2B6 Indeterminate,none
*11/*21,n/a,CYP2B6 Indeterminate,none
*11/*22,n/a,CYP2B6 Indeterminate,none
*11/*23,n/a,CYP2B6 Indeterminate,none
*11/*24,n/a,CYP2B6 Indeterminate,none
*11/*25,n/a,CYP2B6 Indeterminate,none
*11/*26,n/a,CYP2B6 Indeterminate,none
*11/*27,n/a,CYP2B6 Indeterminate,none
*11/*28,n/a,CYP2B6 Indeterminate,none
*11/*29,n/a,CYP2B6 Indeterminate,none
*11/*30,n/a,CYP2B6 Indeterminate,none
*11/*31,n/a,CYP2B6 Indeterminate,none
*11/*32,n/a,CYP2B6 Indeterminate,none
*11/*33,n/a,CYP2B6 Indeterminate,none
*11/*34,n/a,CYP2B6 Indeterminate,none
*11/*35,n/a,CYP2B6 Indeterminate,none
*11/*36,n/a,CYP2B6 Indeterminate,none
*11/*37,n/a,CYP2B6 Indeterminate,none
*11/*38,n/a,CYP2B6 Indeterminate,none
*11/*39,n/a,CYP2B6 Indeterminate,none
*11/*40,n/a,CYP2B6 Indeterminate,none
*11/*41,n/a,CYP2B6 Indeterminate,none
*11/*42,n/a,CYP2B6 Indeterminate,none
*11/*43,n/a,CYP2B6 Indeterminate,none
*11/*44,n/a,CYP2B6 Indeterminate,none
*11/*45,n/a,CYP2B6 Indeterminate,none
*11/*46,n/a,CYP2B6 Indeterminate,none
*11/*47,n/a,CYP2B6 Indeterminate,none
*11/*48,n/a,CYP2B6 Indeterminate,none
*11/*49,n/a,CYP2B6 Indeterminate,none
*12/*12,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*13,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*14,n/a,CYP2B6 Indeterminate,none
*12/*15,n/a,CYP2B6 Indeterminate,none
*12/*17,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*18,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*21,n/a,CYP2B6 Indeterminate,none
*12/*22,n/a,CYP2B6 Indeterminate,none
*12/*23,n/a,CYP2B6 Indeterminate,none
*12/*24,n/a,CYP2B6 Indeterminate,none
*12/*25,n/a,CYP2B6 Indeterminate,none
*12/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*27,n/a,CYP2B6 Indeterminate,none
*12/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*12/*33,n/a,CYP2B6 Indeterminate,none
*12/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*35,n/a,CYP2B6 Indeterminate,none
*12/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*12/*44,n/a,CYP2B6 Indeterminate,none
*12/*45,n/a,CYP2B6 Indeterminate,none
*12/*46,n/a,CYP2B6 Indeterminate,none
*12/*47,n/a,CYP2B6 Indeterminate,none
*12/*48,n/a,CYP2B6 Indeterminate,none
*12/*49,n/a,CYP2B6 Indeterminate,none
*13/*13,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*14,n/a,CYP2B6 Indeterminate,none
*13/*15,n/a,CYP2B6 Indeterminate,none
*13/*17,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*13/*18,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*21,n/a,CYP2B6 Indeterminate,none
*13/*22,n/a,CYP2B6 Indeterminate,none
*13/*23,n/a,CYP2B6 Indeterminate,none
*13/*24,n/a,CYP2B6 Indeterminate,none
*13/*25,n/a,CYP2B6 Indeterminate,none
*13/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*27,n/a,CYP2B6 Indeterminate,none
*13/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*13/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*13/*33,n/a,CYP2B6 Indeterminate,none
*13/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*35,n/a,CYP2B6 Indeterminate,none
*13/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*13/*44,n/a,CYP2B6 Indeterminate,none
*13/*45,n/a,CYP2B6 Indeterminate,none
*13/*46,n/a,CYP2B6 Indeterminate,none
*13/*47,n/a,CYP2B6 Indeterminate,none
*13/*48,n/a,CYP2B6 Indeterminate,none
*13/*49,n/a,CYP2B6 Indeterminate,none
*14/*14,n/a,CYP2B6 Indeterminate,none
*14/*15,n/a,CYP2B6 Indeterminate,none
*14/*17,n/a,CYP2B6 Indeterminate,none
*14/*18,n/a,CYP2B6 Indeterminate,none
*14/*19,n/a,CYP2B6 Indeterminate,none
*14/*20,n/a,CYP2B6 Indeterminate,none
*14/*21,n/a,CYP2B6 Indeterminate,none
*14/*22,n/a,CYP2B6 Indeterminate,none
*14/*23,n/a,CYP2B6 Indeterminate,none
*14/*24,n/a,CYP2B6 Indeterminate,none
*14/*25,n/a,CYP2B6 Indeterminate,none
*14/*26,n/a,CYP2B6 Indeterminate,none
*14/*27,n/a,CYP2B6 Indeterminate,none
*14/*28,n/a,CYP2B6 Indeterminate,none
*14/*29,n/a,CYP2B6 Indeterminate,none
*14/*30,n/a,CYP2B6 Indeterminate,none
*14/*31,n/a,CYP2B6 Indeterminate,none
*14/*32,n/a,CYP2B6 Indeterminate,none
*14/*33,n/a,CYP2B6 Indeterminate,none
*14/*34,n/a,CYP2B6 Indeterminate,none
*14/*35,n/a,CYP2B6 Indeterminate,none
*14/*36,n/a,CYP2B6 Indeterminate,none
*14/*37,n/a,CYP2B6 Indeterminate,none
*14/*38,n/a,CYP2B6 Indeterminate,none
*14/*39,n/a,CYP2B6 Indeterminate,none
*14/*40,n/a,CYP2B6 Indeterminate,none
*14/*41,n/a,CYP2B6 Indeterminate,none
*14/*42,n/a,CYP2B6 Indeterminate,none
*14/*43,n/a,CYP2B6 Indeterminate,none
*14/*44,n/a,CYP2B6 Indeterminate,none
*14/*45,n/a,CYP2B6 Indeterminate,none
*14/*46,n/a,CYP2B6 Indeterminate,none
*14/*47,n/a,CYP2B6 Indeterminate,none
*14/*48,n/a,CYP2B6 Indeterminate,none
*14/*49,n/a,CYP2B6 Indeterminate,none
*15/*15,n/a,CYP2B6 Indeterminate,none
*15/*17,n/a,CYP2B6 Indeterminate,none
*15/*18,n/a,CYP2B6 Indeterminate,none
*15/*19,n/a,CYP2B6 Indeterminate,none
*15/*20,n/a,CYP2B6 Indeterminate,none
*15/*21,n/a,CYP2B6 Indeterminate,none
*15/*22,n/a,CYP2B6 Indeterminate,none
*15/*23,n/a,CYP2B6 Indeterminate,none
*15/*24,n/a,CYP2B6 Indeterminate,none
*15/*25,n/a,CYP2B6 Indeterminate,none
*15/*26,n/a,CYP2B6 Indeterminate,none
*15/*27,n/a,CYP2B6 Indeterminate,none
*15/*28,n/a,CYP2B6 Indeterminate,none
*15/*29,n/a,CYP2B6 Indeterminate,none
*15/*30,n/a,CYP2B6 Indeterminate,none
*15/*31,n/a,CYP2B6 Indeterminate,none
*15/*32,n/a,CYP2B6 Indeterminate,none
*15/*33,n/a,CYP2B6 Indeterminate,none
*15/*34,n/a,CYP2B6 Indeterminate,none
*15/*35,n/a,CYP2B6 Indeterminate,none
*15/*36,n/a,CYP2B6 Indeterminate,none
*15/*37,n/a,CYP2B6 Indeterminate,none
*15/*38,n/a,CYP2B6 Indeterminate,none
*15/*39,n/a,CYP2B6 Indeterminate,none
*15/*40,n/a,CYP2B6 Indeterminate,none
*15/*41,n/a,CYP2B6 Indeterminate,none
*15/*42,n/a,CYP2B6 Indeterminate,none
*15/*43,n/a,CYP2B6 Indeterminate,none
*15/*44,n/a,CYP2B6 Indeterminate,none
*15/*45,n/a,CYP2B6 Indeterminate,none
*15/*46,n/a,CYP2B6 Indeterminate,none
*15/*47,n/a,CYP2B6 Indeterminate,none
*15/*48,n/a,CYP2B6 Indeterminate,none
*15/*49,n/a,CYP2B6 Indeterminate,none
*17/*17,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*17/*18,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*19,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*20,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*21,n/a,CYP2B6 Indeterminate,none
*17/*22,n/a,CYP2B6 Indeterminate,none
*17/*23,n/a,CYP2B6 Indeterminate,none
*17/*24,n/a,CYP2B6 Indeterminate,none
*17/*25,n/a,CYP2B6 Indeterminate,none
*17/*26,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*27,n/a,CYP2B6 Indeterminate,none
*17/*28,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*29,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*30,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*31,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*17/*32,n/a,CYP2B6 Normal Metabolizer,Normal/Routine/Low Risk
*17/*33,n/a,CYP2B6 Indeterminate,none
*17/*34,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*35,n/a,CYP2B6 Indeterminate,none
*17/*36,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*37,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*38,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*39,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*40,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*41,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*42,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*43,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*17/*44,n/a,CYP2B6 Indeterminate,none
*17/*45,n/a,CYP2B6 Indeterminate,none
*17/*46,n/a,CYP2B6 Indeterminate,none
*17/*47,n/a,CYP2B6 Indeterminate,none
*17/*48,n/a,CYP2B6 Indeterminate,none
*17/*49,n/a,CYP2B6 Indeterminate,none
*18/*18,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*21,n/a,CYP2B6 Indeterminate,none
*18/*22,n/a,CYP2B6 Indeterminate,none
*18/*23,n/a,CYP2B6 Indeterminate,none
*18/*24,n/a,CYP2B6 Indeterminate,none
*18/*25,n/a,CYP2B6 Indeterminate,none
*18/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*27,n/a,CYP2B6 Indeterminate,none
*18/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*18/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*18/*33,n/a,CYP2B6 Indeterminate,none
*18/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*35,n/a,CYP2B6 Indeterminate,none
*18/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*18/*44,n/a,CYP2B6 Indeterminate,none
*18/*45,n/a,CYP2B6 Indeterminate,none
*18/*46,n/a,CYP2B6 Indeterminate,none
*18/*47,n/a,CYP2B6 Indeterminate,none
*18/*48,n/a,CYP2B6 Indeterminate,none
*18/*49,n/a,CYP2B6 Indeterminate,none
*19/*19,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*21,n/a,CYP2B6 Indeterminate,none
*19/*22,n/a,CYP2B6 Indeterminate,none
*19/*23,n/a,CYP2B6 Indeterminate,none
*19/*24,n/a,CYP2B6 Indeterminate,none
*19/*25,n/a,CYP2B6 Indeterminate,none
*19/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*27,n/a,CYP2B6 Indeterminate,none
*19/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*19/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*19/*33,n/a,CYP2B6 Indeterminate,none
*19/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*35,n/a,CYP2B6 Indeterminate,none
*19/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*19/*44,n/a,CYP2B6 Indeterminate,none
*19/*45,n/a,CYP2B6 Indeterminate,none
*19/*46,n/a,CYP2B6 Indeterminate,none
*19/*47,n/a,CYP2B6 Indeterminate,none
*19/*48,n/a,CYP2B6 Indeterminate,none
*19/*49,n/a,CYP2B6 Indeterminate,none
*20/*20,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*21,n/a,CYP2B6 Indeterminate,none
*20/*22,n/a,CYP2B6 Indeterminate,none
*20/*23,n/a,CYP2B6 Indeterminate,none
*20/*24,n/a,CYP2B6 Indeterminate,none
*20/*25,n/a,CYP2B6 Indeterminate,none
*20/*26,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*27,n/a,CYP2B6 Indeterminate,none
*20/*28,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*29,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*30,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*31,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*20/*32,n/a,CYP2B6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*20/*33,n/a,CYP2B6 Indeterminate,none
*20/*34,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*35,n/a,CYP2B6 Indeterminate,none
*20/*36,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*37,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*38,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*39,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*40,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*41,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*42,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*43,n/a,CYP2B6 Poor Metabolizer,Abnormal/Priority/High Risk
*20/*44,n/a,CYP2B6 Indeterminate,none
*20/*45,n/a,CYP2B6 Indeterminate,none
*20/*46,n/a,CYP2B6 Indeterminate,none
*20/*47,n/a,CYP2B6 Indeterminate,none
*20/*48,n/a,CYP2B6 Indeterminate,none
*20/*49,n/a,CYP2B6 Indeterminate,none
*21/*21,n/a,CYP2B6 Indeterminate,none
*21/*22,n/a,CYP2B6 Indeterminate,none
*21/*23,n/a,CYP2B6 Indeterminate,none
*21/*24,n/a,CYP2B6 Indeterminate,none
*21/*25,n/a,CYP2B6 Indeterminate,none
*21/*26,n/a,CYP2B6 Indeterminate,none
*21/*27,n/a,CYP2B6 Indeterminate,none
*21/*28,n/a,CYP2B6 Indeterminate,none
*21/*29,n/a,CYP2B6 Indeterminate,none
*21/*30,n/a,CYP2B6 Indeterminate,none
*21/*31,n/a,CYP2B6 Indeterminate,none
*21/*32,n/a,CYP2B6 Indeterminate,none
*21/*33,n/a,CYP2B6 Indeterminate,none
*21/*34,n/a,CYP2B6 Indeterminate,none
*21/*35,n/a,CYP2B6 Indeterminate,none
*21/*36,n/a,CYP2B6 Indeterminate,none
*21/*37,n/a,CYP2B6 Indeterminate,none
*21/*38,n/a,CYP2B6 Indeterminate,none
*21/*39,n/a,CYP2B6 Indeterminate,none
*21/*40,n/a,CYP2B6 Indeterminate,none
*21/*41,n/a,CYP2B6 Indeterminate,none
*21/*42,n/a,CYP2B6 Indeterminate,none
*21/*43,n/a,CYP2B6 Indeterminate,none
*21/*44,n/a,CYP2B6 Indeterminate,none
*21/*45,n/a,CYP2B6 Indeterminate,none
*21/*46,n/a,CYP2B6 Indeterminate,none
*21/*47,n/a,CYP2B6 Indeterminate,none
*21/*48,n/a,CYP2B6 Indeterminate,none
*21/*49,n/a,CYP2B6 Indeterminate,none
*22/*22,n/a,CYP2B6 Indeterminate,none
*22/*23,n/a,CYP2B6 Indeterminate,none
*22/*24,n/a,CYP2B6 Indeterminate,none
*22/*25,n/a,CYP2B6 Indeterminate,none
*22/*26,n/a,CYP2B6 Indeterminate,none
*22/*27,n/a,CYP2B6 Indeterminate,none
*22/*28,n/a,CYP2B6 Indeterminate,none
*22/*29,n/a,CYP2B6 Indeterminate,none
*22/*30,n/a,CYP2B6 Indeterminate,none
*22/*31,n/a,CYP2B6 Indeterminate,none
*22/*32,n/a,CYP2B6 Indeterminate,none
*22/*33,n/a,CYP2B6 Indeterminate,none
*22/*34,n/a,CYP2B6 Indeterminate,none
*22/*35,n/a,CYP2B6 Indeterminate,none
*22/*36,n/a,CYP2B6 Indeterminate,none
*22/*37,n/a,CYP2B6 Indeterminate,none
*22/*38,n/a,CYP2B6 Indeterminate,none
*22/*39,n/a,CYP2B6 Indeterminate,none
*22/*40,n/a,CYP2B6 Indeterminate,none
*22/*41,n/a,CYP2B6 Indeterminate,none
*22/*42,n/a,CYP2B6 Indeterminate,none
*22/*43,n/a,CYP2B6 Indeterminate,none
*22/*44,n/a,CYP2B6 Indeterminate,none
*22/*45,n/a,CYP2B6 Indeterminate,none
*22/*46,n/a,CYP2B6 Indeterminate,none
*22/*47,n/a,CYP2B6 Indeterminate,none
*22/*48,n/a,CYP2B6 Indeterminate,none
*22/*49,n/a,CYP2B6 Indeterminate,none
*23/*23,n/a,CYP2B6 Indeterminate,none
*23/*24,n/a,CYP2B6 Indeterminate,none
*23/*25,n/a,CYP2B6 Indeterminate,none
*23/*26,n/a,CYP2B6 Indeterminate,none
*23/*27,n/a,CYP2B6 Indeterminate,none
*23/*28,n/a,CYP2B6 Indeterminate,none
*23/*29,n/a,CYP2B6 Indeterminate,none
*23/*30,n/a,CYP2B6 Indeterminate,none
*23/*31,n/a,CYP2B6 Indeterminate,none
*23/*32,n/a,CYP2B6 Indeterminate,none
*23/*33,n/a,CYP2B6 Indeterminate,none
*23/*34,n/a,CYP2B6 Indeterminate,none
*23/*35,n/a,CYP2B6 Indeterminate,none
*23/*36,n/a,CYP2B6 Indeterminate,none
*23/*37,n/a,CYP2B6 Indeterminate,none
*23/*38,n/a,CYP2B6 Indeterminate,none
*23/*39,n/a,CYP2B6 Indeterminate,none
*23/*40,n/a,CYP2B6 Indeterminate,none
*23/*41,n/a,CYP2B6 Indeterminate,none
*23/*42,n/a,CYP2B6 Indeterminate,none
*23/*43,n/a,CYP2B6 Indeterminate,none
*23/*44,n/a,CYP2B6 Indeterminate,none
*23/*45,n/a,CYP2B6 Indeterminate,none
*23/*46,n/a,CYP2B6 Indeterminate,none
*23/*47,n/a,CYP2B6 Indeterminate,none
*23/*48,n/a,CYP2B6 Indeterminate,none
*23/*49,n/a,CYP2B6 Indeterminate,none
*24/*24,n/a,CYP2B6 Indeterminate,none
*24/*25,n/a,CYP2B6 Indeterminate,none
*24/*26,n/a,CYP2B6 Indeterminate,none
*24/*27,n/a,CYP2B6 Indeterminate,none
*24/*28,n/a,CYP2B6 Indeterminate,none
*24/*29,n/a,CYP2B6 Indeterminate,none
*24/*30,n/a,CYP2B6 Indeterminate,none
*24/*31,n/a,CYP2B6 Indeterminate,none
*24/*32,n/a,CYP2B6 Indeterminate,none
*24/*33,n/a,CYP2B6 Indeterminate,none
*24/*34,n/a,CYP2B6 Indeterminate,none
*24/*35,n/a,CYP2B6 Indeterminate,none
*24/*36,n/a,CYP2B6 Indeterminate,none
*24/*37,n/a,CYP2B6 Indeterminate,none
*24/*38,n/a,CYP2B6 Indeterminate,none
*24/*39,n/a,CYP2B6 Indeterminate,none
*24/*40,n/a,CYP2B6 Indeterminate,none
*24/*41,n/a,CYP2B6 Indeterminate,none
*24/*42,n/a,CYP2B6 Indeterminate,none
*24/*43,n/a,CYP2B6 Indeterminate,none
*24/*44,n/a,CYP2B6 Indeterminate,none
*24/*45,n/a,CYP2B6 Indeterminate,none
*24/*46,n/a,CYP2B6 Indeterminate,none
*24/*47,n/a,CYP2B6 Indeterminate,none
*24/*48,n/a,CYP2B6 Indeterminate,none
*24/*49,n/a,CYP2B6 Indeterminate,none
*25/*25,n/a,CYP2B6 Indeterminate,none
*25/*26,n/a,CYP2B6 Indeterminate,none
*25/*27,n/a,CYP2B6 Indeterminate,none
*25/*28,n/a,CYP2B6 Indeterminate,none
*25/*29,n/a,CYP2B6 Indeterminate,none
*25/*30,n/a,CYP2B6 Indeterminate,none
*25/*31,n/a,CYP2B6 Indeterminate,none
*25/*32,n/a,CYP2B6 Indeterminate,none
*25/*33,n/a,CYP2B6 Indeterminate,none
*25/*34,n/a,CYP2B6 Indeterminate,none
*25/*35,n/a,CYP2B6 Indeterminate,none
*25/*36,n/a,CYP2B6 Indeterminate,none
*25/*37,n/a,CYP2B6 Indeterminate,none
*25/*38,n/a,CYP2B6 Indeterminate,none
*25/*39,n/a,CYP2B6 Indeterminate,none
*25/*40,n/a,CYP2B6 Indeterminate,none
*25/*41,n/a,CYP2B6 Indeterminate,none
